time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4957516,14851304,24748407,34644240,44540747,54436774,64333378,74229025,84126069,0.0008235865181071526,0.00018561515859476878,5.490303329280916e-06,6.524764243842433e-06,7.724873634931558e-06,9.756912076616914e-06,1.437511900145778e-05,1.59936906590384e-05,1.965762382455515e-05
1,4957516,14851314,24748407,34644240,44540717,54436724,64333378,74228934,84126069,0.0008228750340041888,0.00018511378013070262,5.4766440418301255e-06,6.529555501901058e-06,7.669875465861398e-06,9.759613387459217e-06,1.4357408905560862e-05,1.6019590347238627e-05,1.96318428017065e-05
2,4957516,14851304,24748407,34644240,44540747,54436774,64333378,74229025,84126069,0.000822219771100824,0.00018539305737430732,5.455772516948419e-06,6.54074234370675e-06,7.704220274313434e-06,9.723333668554099e-06,1.4357108963740927e-05,1.5910901138880288e-05,1.9620733933367706e-05
3,4957516,14851304,24748407,34644240,44540717,54436724,64333378,74228934,84126069,0.0008226560706111206,0.00018477901865061544,5.486723923627555e-06,6.5942937233773455e-06,7.717676779462117e-06,9.721410568474982e-06,1.4378727648392637e-05,1.60110452423448e-05,1.9634091998881802e-05
4,4957516,14851314,24748407,34644220,44540747,54436724,64333448,74228934,84126069,0.0008246980158395133,0.00018481450642742476,5.46573289196217e-06,6.566729898316625e-06,7.724691001615667e-06,9.780023315244473e-06,1.4398993923748196e-05,1.6037383166187234e-05,1.9654615425599816e-05
5,4957516,14851314,24748407,34644240,44540747,54436774,64333378,74229025,84125959,0.0008237217131641765,0.00018496059545321684,5.4763405125884516e-06,6.549247182813971e-06,7.643045120277368e-06,9.753402040920105e-06,1.4366882559175817e-05,1.594244710957292e-05,1.963932254600028e-05
6,4957516,14851304,24748407,34644220,44540717,54436724,64333378,74229025,84126069,0.0008236808969902491,0.00018520646474824208,5.512301525395918e-06,6.574847353185395e-06,7.716782732692672e-06,9.774355328066571e-06,1.4369471966019888e-05,1.5947278175531856e-05,1.971631519676482e-05
7,4957516,14851304,24748392,34644220,44540747,54436724,64333378,74228934,84126069,0.0008220802759302831,0.00018505926088902174,5.4784468507994825e-06,6.533756338967005e-06,7.71451487787533e-06,9.722145474926897e-06,1.4376717882176909e-05,1.60295321949885e-05,1.973924717239062e-05
8,4957516,14851314,24748407,34644240,44540747,54436774,64333378,74228934,84125959,0.000822161656374863,0.00018487533228884087,5.467358873601481e-06,6.549472721535423e-06,7.67490290565389e-06,9.711942599744574e-06,1.4403337224087148e-05,1.601833972006356e-05,1.957898936437149e-05
9,4957516,14851304,24748392,34644240,44540717,54436724,64333378,74228934,84125959,0.0008236114576034791,0.00018517581266454245,5.455143569380546e-06,6.547869506038184e-06,7.705390597592629e-06,9.729675475235063e-06,1.4386339534364233e-05,1.5937164318803783e-05,1.9635951496234715e-05
10,4957516,14851294,24748362,34644160,44540596,54436573,64333167,74228664,84125629,0.0008240168545164884,0.0001862215975083632,5.424577143311265e-06,6.590861613328949e-06,7.906623792249944e-06,1.013146946874761e-05,1.4315683041573666e-05,1.6771887991726424e-05,1.9125416165789242e-05
11,4957501,14851254,24748317,34644120,44540566,54436523,64333097,74228664,84125629,0.0008393970980930512,0.00018919522093500545,5.419842824393386e-06,6.677201628214389e-06,8.035435221515923e-06,1.0358286099302825e-05,1.4354962632452932e-05,1.6844076139763683e-05,1.905446776666928e-05
12,4957501,14851254,24748317,34644100,44540566,54436523,64333097,74228664,84125629,0.0008401526010108908,0.00018920211506175211,5.4223033983538755e-06,6.6835963094119425e-06,8.031947844871558e-06,1.0365899760488471e-05,1.4368292561580405e-05,1.691252527128867e-05,1.9063102398200654e-05
13,4957496,14851254,24748317,34644100,44540566,54436523,64333097,74228664,84125519,0.0008407338858859288,0.00018912539729756933,5.415869142614322e-06,6.669439614438038e-06,8.018076127679729e-06,1.0362355911157727e-05,1.4378855200799149e-05,1.6930856537248374e-05,1.907397369132959e-05
