time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
16,4954406,14853866,24746225,34646394,44543845,54440128,64336794,74232974,84134056,0.0012378091064485406,7.187651864408208e-05,0.00022931284460900368,9.379763308351557e-05,7.512666709557152e-05,6.983153011641046e-05,0.00010556865128125807,0.0001320458575586092,0.00016223146541395394
17,4954390,14853790,24746084,34646318,44543875,54440092,64336914,74232928,84134005,0.0011744341732243336,7.175884500560502e-05,0.0002400614727117732,9.610327897057572e-05,7.515558731089093e-05,6.996265418158684e-05,0.00010650575008763565,0.00013242123917386582,0.000162380943138413
18,4954395,14853774,24746144,34646393,44543844,54440127,64336713,74232882,84133654,0.0011687784179710478,7.155714281276515e-05,0.00023911460445309187,9.65104511690678e-05,7.5109236667396e-05,6.983422132254636e-05,0.00010585398187887534,0.00013220870138993756,0.00016207926286618046
19,4954389,14853758,24746123,34646367,44543813,54440091,64336672,74232656,84133704,0.0,7.109888604384919e-05,0.00024186505064710954,9.676609014751306e-05,7.506698560611386e-05,6.991644606316712e-05,0.00010591962538827113,0.00013206381188246238,0.00016270233083249088
20,4954394,14853773,24746143,34646141,44543002,54438585,64334871,74233871,84131352,0.0011678064205027515,7.091489122907919e-05,0.00023760916783866192,0.0001141267519343369,7.281488838320559e-05,8.801966111053811e-05,0.00011755863791713882,0.00016181281721546972,0.00018640546767989937
21,4954138,14852017,24750645,34646065,44542431,54438129,64334590,74233916,84131201,0.0012337850122640785,7.393564538648087e-05,0.0005058884524146349,0.00011091410804779844,7.645012851299509e-05,9.760512556710845e-05,0.00012470674978452923,0.00016646111334502406,0.00018948309869610682
22,4954112,14851911,24750464,34646039,44542340,54438023,64334710,74233510,84131150,0.0011776833367898012,7.287453270048159e-05,0.0004862790286806046,0.00011024570979520792,7.687125737168897e-05,9.848763024279942e-05,0.00012560262101575672,0.00016748628184060687,0.00019061513841000675
23,4954106,14851865,24750323,34646064,44542309,54438198,64334589,74233645,84131099,0.0011709893345316072,7.236317543039544e-05,0.0004823985507759982,0.00010993204155550702,7.698757125646738e-05,9.886001005033682e-05,0.000126369256845307,0.00016792593022156178,0.00019102887326977538
24,4954100,14851819,24750343,34646038,44542278,54438022,64334468,74233599,84131048,0.001171093612645393,7.18631574656023e-05,0.0004789702104118409,0.00010972804136811557,7.700350096296543e-05,9.916685862373395e-05,0.00012647877164818195,0.0001678913525369976,0.0001913949122615334
25,4954105,14851834,24750322,34646012,44541587,54436936,64332827,74230942,84127296,0.0011690051103912646,7.185107128162302e-05,0.00047868236597129013,0.00010702534538825925,8.192044923470464e-05,0.0001086400444402383,0.00014735194087012665,0.0001880460218563606,0.0002144192130814965
26,4953829,14850168,24750782,34644986,44540836,54436480,64332466,74230626,84126845,0.001239414802771628,7.083864461826591e-05,0.0003686564555011334,0.00010322511327669915,8.195186929709174e-05,0.00011230293228006381,0.00015317148484909703,0.00019157494734558465,0.00021810346575101226
27,4953803,14850092,24750641,34644960,44540745,54436444,64332425,74230761,84127095,0.001173186057897698,7.099439246798112e-05,0.00036115379880449674,0.00010306550273082026,8.217298988223557e-05,0.0001127939924232452,0.0001535307936722428,0.00019276597390515044,0.00021955820019609138
28,4953797,14850046,24750861,34644934,44540775,54436338,64332224,74230535,84127345,0.0011694741687587724,7.095105591828352e-05,0.0003586768774923098,0.00010305997244615739,8.248711585086135e-05,0.00011297782774581717,0.00015382989197540057,0.00019322007753748817,0.0002188223444192649
29,4953791,14850030,24750600,34644959,44540684,54436302,64332504,74230399,84127094,0.0011700955724342733,7.101841983450716e-05,0.0003563989881774905,0.00010306071830478277,8.277153612163122e-05,0.00011318100565589994,0.00015401457689486497,0.0001935352319803135,0.000218995850226494
30,4953796,14850014,24750900,34644883,44539993,54434866,64332784,74227202,84122941,0.0011660118838354792,7.108718759346914e-05,0.00035499175456623206,0.00010314150710156905,9.267993918560654e-05,0.00014181001060019103,0.0001836791135129346,0.00022042429402325647,0.0002538782986899386
31,4953460,14847897,24749279,34643457,44539002,54434410,64332423,74226976,84122590,0.001253921542452984,0.0001303213707900622,0.00023706783283489294,9.485673006840365e-05,0.00012049405681659425,0.00015405269566809462,0.0001879282244103007,0.000226898316568858,0.0002609818546762715
32,4953434,14847731,24749138,34643381,44538911,54434094,64331822,74226750,84122539,0.0011748280291553192,0.00014139255351158466,0.00023380104360568295,9.524929565276607e-05,0.00012082070616174865,0.00015507829285396697,0.00018899611880219633,0.00022802103931522527,0.00026339488525712283
33,4953428,14847655,24748997,34643406,44538941,54433988,64332102,74226434,84121588,0.001172597212679003,0.00014731690505649677,0.0002323298543255298,9.517835622602783e-05,0.00012120307306367584,0.00015557750787948598,0.00018992390259892994,0.00022932199707495336,0.0002641452535650202
34,4953412,14847549,24749057,34643380,44538910,54434093,64331901,74226749,84121938,0.0011714159294102177,0.00015139040013177507,0.00023110750396044264,9.487532207301911e-05,0.00012122171531681117,0.00015586491861043565,0.00018954331289412296,0.0002291743774993162,0.000265323283610896
35,4953417,14847533,24748996,34643354,44538819,54432797,64329539,74221391,84121988,0.00116928025613347,0.0001540593126760677,0.00023022827742784002,9.47089932201229e-05,0.0001208179864243129,0.00017164561230633408,0.00022451942114341803,0.00028288626749518707,0.00031619125703512757
36,4952971,14848298,24747895,34641778,44536687,54431571,64328378,74221255,84119736,-0.0012842265749176895,0.0003900092069162358,0.0002284507402996486,0.00012482344394831985,0.00014596132809639145,0.0001951212065110605,0.00023623041230986524,0.0002956131832402034,0.0003218442685511776
37,4952935,14848252,24747915,34641702,44536536,54431676,64328097,74221119,84118785,0.0011785143162587836,0.00039497555649046666,0.00022793287477557362,0.00012556291917844702,0.00014608712146904374,0.0001961502087946804,0.00023715117046918348,0.00029740998590169936,0.0003274912670075978
38,4952919,14848146,24747935,34641777,44536445,54431430,64328297,74220983,84119735,0.0011693385076928045,0.00039559930828520244,0.0002273297188015277,0.0001255863324082469,0.00014564835218782343,0.0001961128803684832,0.00023814841414431756,0.0002977963736812471,0.00033120030317933735
39,4952924,14848251,24747955,34641751,44536595,54431605,64328417,74220667,84119484,0.0011679734043790707,0.00039556074564339483,0.00022708288916839658,0.00012578322377929726,0.00014510542696624158,0.00019558693121991873,0.0002380953900505894,0.00029816916708519245,0.0003293463364886685
40,4952918,14848175,24747894,34641675,44536625,54430939,64323734,74219631,84110329,0.001169849874636058,0.0003952601651640917,0.0002266817316105393,0.00012569316323704375,0.00014442047073685355,0.00020169301555951198,0.00028851714252933926,0.00037402590968230447,0.0004070478176004316
41,4952262,14846629,24746513,34639398,44533773,54428732,64321933,74217785,84109778,0.001337652565753894,0.000821374108473751,0.0001626287361530003,0.00014820964435098373,0.00018963062976864951,0.0002458200239364627,0.0003229012805464947,0.00039234552359888837,0.0004455551215234978
42,4952216,14846944,24746412,34639272,44533803,54428696,64322053,74217289,84109828,0.0011776094833716698,0.0008562924841920678,0.00015981719253277304,0.00015023134811980717,0.00019113141110183225,0.00024709070166342587,0.00032636045277213607,0.0003970924102130425,0.0004520268164511909
43,4952200,14846928,24746391,34639246,44533833,54428240,64322012,74216883,84109477,0.0011710426291381996,0.0008631227816458485,0.0001594051320108215,0.00015015604746822166,0.000190927094982286,0.00024654193750387203,0.00032577862539713055,0.00039926893670299207,0.0004528430813884276
44,4952194,14847213,24746411,34639170,44533983,54428905,64322052,74217198,84110127,0.0011686562842107531,0.0008648568786927744,0.0001590459103460922,0.00015388850712837816,0.00019093828428314467,0.0002472443585622734,0.00032567881719298454,0.0003986160241475169,0.0004523809846277965
45,4952209,14847077,24746551,34639345,44534133,54428519,64319770,74213641,84106675,0.0011625006294906164,0.0008615442242267978,0.00016135368840971027,0.0001465135385525499,0.00018822899037488315,0.00024316753605780088,0.00034627806743155556,0.00043477193988101484,0.0005005401045535802
46,4951863,14848202,24745250,34638469,44532121,54426102,64318209,74212515,84105424,0.0012523544952028603,0.0007855649863095244,0.0001578917784433028,0.00018378389236119947,0.00021998005167898484,0.00028721036897157485,0.0003774422928672682,0.000458587093688293,0.000531376143490903
47,4951817,14847826,24745270,34638644,44532271,54426417,64318809,74212830,84105574,0.0011739103320499045,0.0007956007380647948,0.00015827852838219743,0.00018312356624224275,0.00021859558944285786,0.00028669789530956524,0.0003776346046756434,0.00045635136026541025,0.0005290552475006299
48,4951832,14848021,24745290,34638518,44532240,54426452,64319089,74211344,84103122,0.0011598363689119629,0.0007916595340796902,0.00015689428693966347,0.00018214305620071656,0.00021604078161479903,0.0002834222990668935,0.0003724639465180722,0.0004556015976543048,-0.0005231914143802213
49,4951837,14848066,24745310,34638643,44532390,54426907,64318728,74212919,84103272,0.0011604414088130157,0.0007884984664148539,0.000156452533494981,0.00018199984930942473,0.000215048422785794,0.00028224695620283295,0.00037204235784587327,0.000458848820896689,0.0005336756236727717
50,4951852,14847960,24745330,34638668,44532480,54426801,64319008,74208641,84095618,0.001158247644423887,0.0007873757816478028,0.00015546520963441744,0.0001810797496655496,0.00021315896038720167,0.00027992626407542223,0.0003614116645393706,0.0004973676363010615,0.000610126454643879
51,4951336,14847944,24744189,34637292,44530529,54423264,64314405,74208145,84101370,0.0012930577290949808,0.001016493535057226,0.00020232531581925898,0.0001927478590015302,0.00026129954388567764,0.0003520127154734234,0.00045698395565939174,0.0005722790609511914,0.0007635180157630763
52,4951200,14850270,24744128,34637216,44530559,54422668,64314044,74204228,84091214,0.001191895265367956,0.0010117973969406865,0.00020508567238730995,0.0001941901395210324,0.0002626403822562949,0.0003568796936289637,0.00046770389400618774,0.000576314852915038,0.0006882147982293799
53,4951174,14850044,24744107,34637241,44530228,54422773,64314484,74204543,84097267,0.001163290309283513,0.0010060842135183605,0.00020502472367677727,0.00019442917438829713,0.00026227589374160976,0.00035684381411234213,0.000471062022731485,0.0005947198300054752,0.0008493294775646997
54,4951179,14850329,24744207,34637266,44530438,54423018,64315004,74204047,84093315,0.0011582864961800958,0.0010082138951657907,0.00020484485974871542,0.00019435123597780657,0.00026231209187819077,0.0003588142339045918,0.0004733685487789768,0.0005937679171258462,-0.0007452652036210763
55,4951153,14850103,24744186,34637291,44530407,54422632,64315044,74200220,84089763,-0.001162794240494274,0.0010034117440528728,0.00020503523853838997,0.00019422544206648584,0.00026281935577860164,0.00035752425278142217,0.0004705878229359682,0.0006658992458560733,0.26405367634127513
56,4950137,14847836,24743005,34635114,44527195,54417414,64307160,74195312,84093714,0.0014153395296185492,0.0006944128201812235,0.00022015286201490422,0.0002445025597543394,0.0003404441142258754,0.0004715542188906468,0.0006190271426645832,-0.0008507080797474369,0.24990602655696328
57,4949931,14847550,24742864,34634838,44526924,54416678,64307200,74195627,84087761,-0.0011895876116028118,0.000745255332549846,0.0002224986418531503,0.0002498878211452491,0.00034884943561846055,0.0004930358940060073,0.0006675981632282191,0.0010343681050557425,0.30497100791156834
58,4949865,14847534,24742763,34634963,44527074,54417623,64304998,74190629,84082708,-0.001155898611298635,0.000772722203509269,0.00022350934421831403,0.000251431759227691,0.00035074526463989405,0.0004978080913058206,0.0006820094867013784,0.0010062826172453532,0.23342637560779145
59,4949890,14847458,24742863,34634937,44527284,54417237,64305198,74198778,84077155,-0.0011376458560506631,0.000764849128223224,0.00022250050471174165,0.00024905844989412903,0.0003500389555677231,0.0004957994096987119,0.000701213683344704,0.0012655652181929361,-0.014589733075231585
60,4949874,14847623,24742842,34634911,44527013,54416571,64306278,74190358,84140436,-0.0011424654657839835,0.0007716062636281157,0.00022227761464563192,0.0002493330195508556,0.0003510773554158309,0.0005018471497334047,0.0007007591903438127,-0.0008625776839829864,0.43845759907635967
61,4946987,14848658,24741061,34631534,44521280,54408131,64300475,74204450,84235433,0.00032307571046258544,0.0004966476030927778,0.0002613480485549973,0.0003317035989490524,0.0005044382965640041,0.0007256945137079597,0.0010471164674511564,0.3887790088134169,0.4843833567874656
62,4946001,14848522,24740680,34631508,44520769,54407745,64294512,74189277,84219575,0.0004909813798194366,0.0004993427600566881,0.0002671850102495543,0.0003356653825014078,0.0005299643315447972,0.0008143559178726096,0.0014708708462533783,0.0006367171902814424,0.0
63,4945885,14848476,24740820,34631583,44522900,54407850,64294952,74198326,84240335,0.00050687358777119,0.0004990766386982124,0.00026438208099308254,0.00033978675995389936,0.000535005660320122,0.000841190433580747,0.003247390053700819,0.37941135349087945,0.4994397467979938
64,4945719,14848551,24740759,34631457,44520888,54406554,64298193,74194769,84226678,0.0005292471848698479,0.0005004116186674803,0.000266953035588189,0.0003400326562481386,0.0005306740063762404,0.0008394074592793684,0.002978594703593781,0.3755017978505533,0.0016080102418522515
65,4945764,14848566,24740859,34631381,44521458,54407639,64296472,74206880,84229529,0.0005101089480473148,0.0005006593078351522,0.00026658664456628324,0.000335544950937037,0.0005166246008233833,0.0008470249907964256,0.0024290732303443316,0.3953637612488775,0.38424874356455113
66,4955753,14847260,24738277,34625903,44512903,54401861,64373350,74279681,84225877,0.0018158565818850011,0.00044805807997491193,0.0003477794021436065,0.000529909276283212,-0.0008748698971601089,0.3213860316765591,0.5068490757096389,0.0,0.3991916346724039
67,4955527,14847154,24738136,34625827,44511492,54398814,64367066,74332762,84227127,0.001817649429887242,0.0004395044004610807,0.00035521293828923167,0.0005498825497106043,0.0009881545446700781,0.24966750662911075,0.47845698160786726,0.39907201102750867,0.3914209218927991
68,4955451,14847138,24738276,34625801,44510261,54403961,64377831,74331636,84229478,0.0017722510013982666,0.00043730807822097995,0.00035432684128028737,0.0005544611774155013,0.001032110615562628,0.015141268036608155,0.4707698392411854,0.3987220047103211,0.40983714654395886
69,4955435,14847062,24738095,34625475,44509690,54399023,64385794,74329700,84239332,0.001754344014981471,0.00043823863243449055,0.0003537476884131363,0.0005619279018258972,0.0010588556423406484,0.33476994831216333,0.4361491883420711,0.3951111568785709,0.4218070632762318
70,4955339,14847167,24738195,34625750,44510920,54397027,64387754,74331635,84183954,0.0017323901154215919,0.0004374319769460015,0.00035360571937934017,0.0005520809372452742,0.0010515754912389691,0.12220215674076118,0.37712662617750886,0.48134315056495375,0.0005838237526818444
71,4954233,14853905,24747299,34647435,44544987,54442164,64339529,74241635,84133778,0.0014862835359142439,8.08682291697776e-05,0.0001680059128052841,6.42933508792151e-05,7.05278547865353e-05,6.451146742378972e-05,6.764113365722175e-05,0.36819122778993113,9.116873797461399e-05
72,4954748,14848877,24746638,34648310,44545737,54442759,64340289,74236727,84134728,0.0010481528783307882,3.835589531125517e-05,0.0002468757584100695,6.42885800803271e-05,5.9805760348799263e-05,7.128352602367271e-05,6.521787350109547e-05,9.187073706336597e-05,8.819797573552624e-05
73,4954803,14849282,24747298,34648535,44546007,54442864,64340569,74236952,84135278,0.0,3.64697158858185e-05,8.840214706657293e-05,6.196430997775889e-05,6.063265445858936e-05,6.827566855590057e-05,6.283518446763007e-05,8.851365387736882e-05,8.811239482942591e-05
74,4954848,14849507,24747678,34648660,44546217,54443039,64340769,74236997,84135628,0.0011589840479212558,3.378626553240175e-05,6.917182097800908e-05,5.926784593817392e-05,6.14103748385848e-05,6.449309403071812e-05,6.119711193647005e-05,8.429203862525896e-05,8.988404570558691e-05
75,4954863,14849612,24747898,34648785,44546307,54443144,64340889,74237132,84135978,0.0011684830549704584,2.868487094659726e-05,6.218054107479928e-05,5.688350808668257e-05,6.116087258529223e-05,6.284816465666483e-05,6.029340664010672e-05,8.039997145515909e-05,9.159275474110396e-05
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
