time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4953809,14820702,24681516,34680466,44586980,54487115,64390417,74290498,84195262,0.0008126769900843645,-1.78859424263083e-05,5.649638115935654e-05,4.685609198181762e-05,-4.0239196694982065e-05,6.940817859210753e-05,2.1550684438116377e-05,1.7075819448270285e-05,1.8779104018906692e-05
1,4953801,14820540,24681410,34680472,44587002,54487317,64390424,74290505,84195254,0.0008087654396710119,1.788124383747313e-05,5.677572241899803e-05,4.751437764775908e-05,-3.9225992453434096e-05,7.03025256424961e-05,2.1508636885048478e-05,1.7092447788684403e-05,1.885620240294263e-05
2,4953788,14820566,24681394,34680203,44587009,54487129,64390386,74290542,84195306,0.0008056788693931522,1.8392702804638514e-05,5.668640419601253e-05,4.672874585397591e-05,-4.071867752341012e-05,6.999380313762034e-05,2.1530471596748058e-05,1.7058955655268006e-05,1.881194856892638e-05
3,4953790,14820599,24681629,34680584,44587076,54487076,64390438,74290534,84195298,0.0,-1.8220542647688416e-05,5.7758145145587035e-05,4.676382188295353e-05,4.5835198137927795e-05,6.228861629170865e-05,2.1522739552555912e-05,1.712000551779959e-05,1.891080361682406e-05
4,4953817,14820700,24681613,34680577,44587008,54486903,64390445,74290511,84195335,0.0,1.770836048460148e-05,5.594494457522776e-05,4.6418380649148834e-05,-3.933335502190458e-05,5.978708988062296e-05,2.150487571841477e-05,1.708393652423636e-05,1.8916380098233324e-05
5,4953784,14820741,24681658,34680608,44587105,54486970,64390422,74290518,84195297,0.0008181578257613328,1.8289847806614877e-05,5.844793737207898e-05,4.5768042544388707e-05,4.571447959067605e-05,6.513460710009309e-05,2.1405546652472992e-05,1.7108689467026622e-05,1.8969326998925334e-05
6,4953796,14820587,24681482,34680726,44587067,54487007,64390414,74290510,84195334,0.0007965264540848282,-1.8299813897620987e-05,6.328416699087836e-05,4.5320918644486625e-05,4.281515693263703e-05,6.026404122993529e-05,2.1379280685131523e-05,1.7132820024738198e-05,1.8921888714688606e-05
7,4953793,14820628,24681316,34680482,44587014,54487089,64390436,74290502,84195341,0.0008050569684383593,-1.8193109157345526e-05,5.724518392241652e-05,4.5902721255334986e-05,4.008504011034976e-05,6.185723283974515e-05,2.1445147048235403e-05,1.7106030562515394e-05,1.9041344344049737e-05
8,4953795,14820669,24681771,34680500,44587096,54487021,64390443,74290509,84195348,0.0,1.8259467731779773e-05,5.762015375401051e-05,4.464595835008451e-05,4.300024018566474e-05,6.0558713828119924e-05,2.147836967948395e-05,1.7129192265240483e-05,1.900991775771552e-05
9,4953807,14820605,24681715,34680668,44587028,54487043,64390420,74290516,84195220,0.0008035162716280256,1.842208944768789e-05,5.70203237077527e-05,4.761600472589106e-05,4.1063954533048065e-05,6.578697474674431e-05,2.1452580323827527e-05,1.7128667249336888e-05,1.8951017854994557e-05
10,4953809,14820083,24679518,34684988,44586255,54488131,64390292,74290493,84195287,0.0,1.9332467076801807e-05,6.501364279430595e-05,4.90282397336992e-05,5.6841085469230163e-05,2.910756226406484e-05,2.023581127455354e-05,1.7141677504608538e-05,1.9110330644533754e-05
11,4953606,14819313,24678282,34684819,44586067,54487988,64390359,74290485,84195339,0.000879103705533462,2.4146677111833073e-05,7.819089827449699e-05,4.992929575409016e-05,7.44215384126385e-05,2.5407680371930743e-05,2.038703344965802e-05,1.7118917958723006e-05,1.9084534123545664e-05
12,4953593,14819211,24678226,34684762,44586089,54487980,64390321,74290492,84195256,0.0008071733595017478,2.384274406265813e-05,7.977045523811233e-05,4.9400413365496036e-05,8.162012118404315e-05,2.5482454661734617e-05,2.048044175005107e-05,1.7116109869408954e-05,1.9119512945065144e-05
13,4953580,14819162,24678070,34684755,44586141,54487957,64390313,74290499,84195338,0.0,2.4183837050240826e-05,8.130321078608587e-05,5.017390604876386e-05,8.292518857333611e-05,2.5269651889120922e-05,2.049072185411725e-05,1.7104458123646038e-05,1.9071186146175515e-05
14,4953577,14819180,24677934,34684736,44585878,54487979,64390290,74290491,84195285,0.0008059108430759117,2.406177975613881e-05,8.210116732454832e-05,4.921385753981569e-05,8.538993596398702e-05,2.4598758180187765e-05,2.0526334017044732e-05,1.711657937429953e-05,1.887489285499526e-05
15,4953579,14818981,24674637,34683366,44588496,54487671,64390297,74290468,84195232,0.0,2.0986441485552396e-05,9.982723873473618e-05,2.760168656056737e-05,-0.0001592732152218398,3.0420093679798534e-05,2.0619965111869542e-05,1.728233721445049e-05,1.9221907542489992e-05
16,4953256,14816711,24671050,34682859,44588338,54487708,64390289,74290475,84195254,0.0,3.884847988344359e-05,0.0001429908409694656,3.855042481648249e-05,8.339946289215884e-05,3.0262666928641276e-05,2.0573017925018425e-05,1.728301411798241e-05,1.917106432394833e-05
17,4953243,14816654,24670714,34682802,44588615,54487685,64390311,74290467,84195231,0.0,3.7883691009915286e-05,0.00014462903013316315,3.840930831351975e-05,6.911663484997194e-05,3.0190844635326667e-05,2.05820161568214e-05,1.731301526010816e-05,1.910271999983259e-05
18,4953235,14816635,24670759,34682858,44588307,54487662,64390273,74290489,84195223,0.0008116678009350693,3.817256581185573e-05,0.00014719849010378454,3.855813303922687e-05,6.727071876168618e-05,3.0224985496448597e-05,2.0592273029933537e-05,1.7305986850839776e-05,1.9039246392669704e-05
19,4953232,14816601,24670743,34682751,44588359,54487654,64390280,74290436,84195230,0.0008052708869480051,3.725058260640927e-05,0.00014682727882057257,4.0526619509874706e-05,-6.841208243380769e-05,3.0231280853159423e-05,2.0625028746845934e-05,1.730481635025831e-05,1.9024394986470146e-05
20,4953239,14816597,24668326,34683457,44587571,54487706,64390287,74290443,84195207,0.0008043258124662058,3.7689119048740224e-05,0.0001521065538131797,0.00017218129995065322,5.866751850712088e-05,2.9389909706894195e-05,2.001944581002436e-05,1.7527385663266395e-05,1.919732246884201e-05
21,4952936,14814117,24662458,34681412,44587443,54487668,64390249,74290420,84195229,0.0009201285694637354,5.378046974538835e-05,0.00023371725191153104,0.0002286010615717022,6.517572530070667e-05,2.9159094646381207e-05,2.0015748729580066e-05,1.7546362574669918e-05,1.9194068149854886e-05
22,4952918,14814008,24662072,34681405,44587450,54487720,64390286,74290442,84195251,0.0008111137577929824,5.394443455239439e-05,0.0002474464349365368,0.0002358503086268521,6.570259296296981e-05,2.9053361660116234e-05,2.0014945693852084e-05,1.752399303316188e-05,1.9215345886670296e-05
23,4952910,14813899,24662097,34681248,44587607,54487697,64390248,74290419,84195273,0.0008070671332490194,5.413199206799325e-05,0.00025051030302456064,0.00023693194843821087,6.56861014110144e-05,2.9098641107743656e-05,2.0000120820268366e-05,1.7558553385425083e-05,1.9250336593393908e-05
24,4952907,14813940,24661681,34681329,44587524,54487689,64390255,74290456,84195250,0.0008062018641621115,5.344225761096848e-05,0.00024459811676555415,0.00023601052060858417,6.616065083940595e-05,2.9056936018311065e-05,1.9990661442354393e-05,1.7570699578365103e-05,1.923301922462418e-05
25,4952904,14813891,24660375,34686863,44587621,54487696,64390217,74290403,84195257,0.0008065679424970692,5.3311349018212855e-05,0.0001721605361890786,0.057493244980746844,6.387629629535293e-05,2.7879462586352604e-05,2.002745624010746e-05,1.7969759608067544e-05,1.9317840592689566e-05
